sleeper_id,date,value
10213,2024-01-15,1356
10213,2024-01-16,1377
10213,2024-01-17,1400
10213,2024-01-18,1416
10213,2024-01-19,1442
10213,2024-01-20,1459
10213,2024-01-21,1466
10213,2024-01-22,1477
10213,2024-01-23,1504
10213,2024-01-24,1529
10213,2024-01-25,1530
10213,2024-01-26,1540
10213,2024-01-27,1581
10213,2024-01-28,1583
10213,2024-01-29,1588
10213,2024-01-30,1590
10213,2024-01-31,1586
10213,2024-02-01,1597
10213,2024-02-02,1649
10213,2024-02-03,1656
10213,2024-02-04,1656
10213,2024-02-05,1672
10213,2024-02-06,1677
10213,2024-02-07,1697
10213,2024-02-08,1697
10213,2024-02-09,1712
10213,2024-02-10,1732
10213,2024-02-11,1722
10213,2024-02-12,1697
10213,2024-02-13,1696
10213,2024-02-14,1702
10213,2024-02-15,1717
10213,2024-02-16,1694
10213,2024-02-17,1719
10213,2024-02-18,1735
10213,2024-02-19,1734
10213,2024-02-20,1760
10213,2024-02-21,1749
10213,2024-02-22,1765
10213,2024-02-23,1764
10213,2024-02-24,1785
10213,2024-02-25,1770
10213,2024-02-26,1760
10213,2024-02-27,1765
10213,2024-02-28,1785
10213,2024-02-29,1805
10213,2024-03-01,1786
10213,2024-03-02,1782
10213,2024-03-03,1762
10213,2024-03-04,1762
10213,2024-03-05,1771
10213,2024-03-06,1795
10213,2024-03-07,1816
10213,2024-03-08,1807
10213,2024-03-09,1848
10213,2024-03-10,1817
10213,2024-03-11,1857
10213,2024-03-12,1888
10213,2024-03-13,1885
10213,2024-03-14,1855
10213,2024-03-15,1812
10213,2024-03-16,1811
10213,2024-03-17,1804
10213,2024-03-18,1848
10213,2024-03-19,1896
10213,2024-03-20,1905
10213,2024-03-21,1824
10213,2024-03-22,1827
10213,2024-03-23,1808
10213,2024-03-24,1809
10213,2024-03-25,1795
10213,2024-03-26,1811
10213,2024-03-27,1791
10213,2024-03-28,1756
10213,2024-03-29,1747
10213,2024-03-30,1749
10213,2024-03-31,1753
10213,2024-04-01,1771
10213,2024-04-02,1766
10213,2024-04-03,1751
10213,2024-04-04,1789
10213,2024-04-05,1753
10213,2024-04-06,1779
10213,2024-04-07,1745
10213,2024-04-08,1731
10213,2024-04-09,1771
10213,2024-04-10,1738
10213,2024-04-11,1700
10213,2024-04-12,1672
10213,2024-04-13,1672
10213,2024-04-14,1702
10213,2024-04-15,1693
10213,2024-04-16,1662
10213,2024-04-17,1677
10213,2024-04-18,1713
10213,2024-04-19,1728
10213,2024-04-20,1689
10213,2024-04-21,1689
10213,2024-04-22,1694
10213,2024-04-23,1690
10213,2024-04-24,1666
10213,2024-04-25,1682
10213,2024-04-26,1707
10213,2024-04-27,1759
10213,2024-04-28,1797
10213,2024-04-29,1815
10213,2024-04-30,1760
10213,2024-05-01,1746
10213,2024-05-02,1720
10213,2024-05-03,1676
10213,2024-05-04,1612
10213,2024-05-05,1670
10213,2024-05-06,1593
10213,2024-05-07,1606
10213,2024-05-08,1574
10213,2024-05-09,1595
10213,2024-05-10,1596
10213,2024-05-11,1648
10213,2024-05-12,1648
10213,2024-05-13,1627
10213,2024-05-14,1633
10213,2024-05-15,1640
10213,2024-05-16,1640
10213,2024-05-17,1618
10213,2024-05-18,1630
10213,2024-05-19,1607
10213,2024-05-20,1587
10213,2024-05-21,1558
10213,2024-05-22,1546
10213,2024-05-23,1547
10213,2024-05-24,1516
10213,2024-05-25,1539
10213,2024-05-26,1562
10213,2024-05-27,1577
10213,2024-05-28,1592
10213,2024-05-29,1585
10213,2024-05-30,1543
10213,2024-05-31,1529
10213,2024-06-01,1520
10213,2024-06-02,1532
10213,2024-06-03,1542
10213,2024-06-04,1592
10213,2024-06-05,1618
10213,2024-06-06,1626
10213,2024-06-07,1587
10213,2024-06-08,1596
10213,2024-06-09,1552
10213,2024-06-10,1552
10213,2024-06-11,1536
10213,2024-06-12,1531
10213,2024-06-13,1565
10213,2024-06-14,1559
10213,2024-06-15,1523
10213,2024-06-16,1521
10213,2024-06-17,1531
10213,2024-06-19,1518
10213,2024-06-20,1512
10214,2023-06-26,0
10214,2023-06-27,0
10214,2023-06-28,0
10214,2023-06-29,0
10214,2023-06-30,0
10214,2023-07-01,0
10214,2023-07-02,0
10214,2023-07-03,0
10214,2023-07-04,0
10214,2023-07-05,0
10214,2023-07-06,0
10214,2023-07-07,0
10214,2023-07-08,0
10214,2023-07-09,0
10214,2023-07-10,0
10214,2023-07-11,0
10214,2023-07-12,0
10214,2023-07-13,0
10214,2023-07-14,0
10214,2023-07-15,0
10214,2023-07-16,0
10214,2023-07-17,0
10214,2023-07-18,0
10214,2023-07-19,0
10214,2023-07-20,0
10214,2023-07-21,0
10214,2023-07-22,0
10214,2023-07-23,0
10214,2023-07-24,0
10214,2023-07-25,0
10214,2023-07-26,0
10214,2023-07-27,0
10214,2023-07-28,0
10214,2023-07-29,0
10214,2023-07-30,0
10214,2023-07-31,0
10214,2023-08-01,0
10214,2023-08-02,0
10214,2023-08-03,0
10214,2023-08-04,0
10214,2023-08-05,0
10214,2023-08-06,0
10214,2023-08-07,0
10214,2023-08-08,0
10214,2023-08-09,0
10214,2023-08-10,0
10214,2023-08-11,0
10214,2023-08-12,0
10214,2023-08-13,0
10214,2023-08-14,0
10214,2023-08-15,0
10214,2023-08-16,0
10214,2023-08-17,0
10214,2023-08-18,0
10214,2023-08-19,0
10214,2023-08-20,0
10214,2023-08-21,0
10214,2023-08-22,0
10214,2023-08-23,0
10214,2023-08-24,0
10214,2023-08-25,0
10214,2023-08-26,0
10214,2023-08-27,0
10214,2023-08-28,0
10214,2023-08-29,0
10214,2023-08-30,0
10214,2023-08-31,0
10214,2023-09-01,0
10214,2023-09-02,0
10214,2023-09-03,0
10214,2023-09-04,0
10214,2023-09-05,0
10214,2023-09-06,0
10214,2023-09-07,0
10214,2023-09-08,0
10214,2023-09-09,0
10214,2023-09-10,0
10214,2023-09-11,0
10214,2023-09-12,0
10214,2023-09-13,0
10214,2023-09-14,0
10214,2023-09-15,0
10214,2023-09-16,0
10214,2023-09-17,0
10214,2023-09-18,0
10214,2023-09-19,0
10214,2023-09-20,0
10214,2023-09-21,0
10214,2023-09-22,0
10214,2023-09-23,0
10214,2023-09-24,0
10214,2023-09-25,0
10214,2023-09-26,0
10214,2023-09-27,0
10214,2023-09-28,0
10214,2023-09-29,0
10214,2023-09-30,0
10214,2023-10-01,0
10214,2023-10-02,0
10214,2023-10-03,0
10214,2023-10-04,0
10214,2023-10-05,0
10214,2023-10-06,0
10214,2023-10-07,0
10214,2023-10-08,0
10214,2023-10-09,0
10214,2023-10-10,0
10214,2023-10-11,0
10214,2023-10-12,0
10214,2023-10-13,0
10214,2023-10-14,0
10214,2023-10-15,0
10214,2023-10-16,0
10214,2023-10-17,0
10214,2023-10-18,0
10214,2023-10-19,0
10214,2023-10-20,0
10214,2023-10-21,0
10214,2023-10-22,0
10214,2023-10-23,0
10214,2023-10-24,0
10214,2023-10-25,0
10214,2023-10-26,0
10214,2023-10-27,0
10214,2023-10-28,0
10214,2023-10-29,0
10214,2023-10-30,0
10214,2023-10-31,0
10214,2023-11-01,0
10214,2023-11-02,0
10214,2023-11-03,0
10214,2023-11-04,0
10214,2023-11-05,0
10214,2023-11-06,0
10214,2023-11-07,0
10214,2023-11-08,0
